ID,NumCode,CharCode,Nominal,Name,Value,Previous,timestamp,Change_pct
R01010,36,AUD,1,Австралийский доллар,51.2097,51.449,2025-04-21 21:47:01,-0.47
R01020A,944,AZN,1,Азербайджанский манат,47.5057,47.7277,2025-04-21 21:47:01,-0.47
R01035,826,GBP,1,Фунт стерлингов,107.0631,107.5635,2025-04-21 21:47:01,-0.47
R01060,51,AMD,100,Армянских драмов,20.6806,20.7565,2025-04-21 21:47:01,-0.37
R01090B,933,BYN,1,Белорусский рубль,26.5195,26.5241,2025-04-21 21:47:01,-0.02
R01100,975,BGN,1,Болгарский лев,46.9075,47.1267,2025-04-21 21:47:01,-0.47
R01115,986,BRL,1,Бразильский реал,13.7919,13.8563,2025-04-21 21:47:01,-0.46
R01135,348,HUF,100,Форинтов,22.5428,22.6482,2025-04-21 21:47:01,-0.47
R01150,704,VND,10000,Донгов,32.4245,32.5878,2025-04-21 21:47:01,-0.5
R01200,344,HKD,1,Гонконгский доллар,10.4246,10.47,2025-04-21 21:47:01,-0.43
R01210,981,GEL,1,Лари,29.364,29.5012,2025-04-21 21:47:01,-0.47
R01215,208,DKK,1,Датская крона,12.2808,12.3382,2025-04-21 21:47:01,-0.47
R01230,784,AED,1,Дирхам ОАЭ,21.9904,22.0932,2025-04-21 21:47:01,-0.47
R01235,840,USD,1,Доллар США,80.7597,81.1371,2025-04-21 21:47:01,-0.47
R01239,978,EUR,1,Евро,93.6714,92.2232,2025-04-21 21:47:01,1.57
R01240,818,EGP,10,Египетских фунтов,15.7973,15.8711,2025-04-21 21:47:01,-0.46
R01270,356,INR,100,Индийских рупий,94.8305,94.8192,2025-04-21 21:47:01,0.01
R01280,360,IDR,10000,Рупий,47.977,48.1669,2025-04-21 21:47:01,-0.39
R01335,398,KZT,100,Тенге,15.4742,15.5079,2025-04-21 21:47:01,-0.22
R01350,124,CAD,1,Канадский доллар,58.2808,58.5532,2025-04-21 21:47:01,-0.47
R01355,634,QAR,1,Катарский риал,22.1867,22.2904,2025-04-21 21:47:01,-0.47
R01370,417,KGS,100,Сомов,92.9685,93.154,2025-04-21 21:47:01,-0.2
R01375,156,CNY,1,Юань,11.0648,11.0889,2025-04-21 21:47:01,-0.22
R01500,498,MDL,10,Молдавских леев,46.8183,47.1081,2025-04-21 21:47:01,-0.62
R01530,554,NZD,1,Новозеландский доллар,47.7572,47.9804,2025-04-21 21:47:01,-0.47
R01535,578,NOK,10,Норвежских крон,75.9598,76.3148,2025-04-21 21:47:01,-0.47
R01565,985,PLN,1,Злотый,21.4439,21.5441,2025-04-21 21:47:01,-0.47
R01585F,946,RON,1,Румынский лей,18.4568,18.5431,2025-04-21 21:47:01,-0.47
R01589,960,XDR,1,СДР (специальные права заимствования),109.5328,109.8953,2025-04-21 21:47:01,-0.33
R01625,702,SGD,1,Сингапурский доллар,61.9228,61.7717,2025-04-21 21:47:01,0.24
R01670,972,TJS,10,Сомони,75.3904,75.0234,2025-04-21 21:47:01,0.49
R01675,764,THB,10,Батов,24.3575,24.3013,2025-04-21 21:47:01,0.23
R01700J,949,TRY,10,Турецких лир,21.2317,21.2984,2025-04-21 21:47:01,-0.31
R01710A,934,TMT,1,Новый туркменский манат,23.0742,23.182,2025-04-21 21:47:01,-0.47
R01717,860,UZS,10000,Узбекских сумов,62.4196,62.5844,2025-04-21 21:47:01,-0.26
R01720,980,UAH,10,Гривен,19.5173,19.6066,2025-04-21 21:47:01,-0.46
R01760,203,CZK,10,Чешских крон,36.669,36.8403,2025-04-21 21:47:01,-0.46
R01770,752,SEK,10,Шведских крон,83.1925,83.5813,2025-04-21 21:47:01,-0.47
R01775,756,CHF,1,Швейцарский франк,98.8975,99.3597,2025-04-21 21:47:01,-0.47
R01805F,941,RSD,100,Сербских динаров,78.2789,78.6447,2025-04-21 21:47:01,-0.47
R01810,710,ZAR,10,Рэндов,42.7918,42.9918,2025-04-21 21:47:01,-0.47
R01815,410,KRW,1000,Вон,56.813,57.1428,2025-04-21 21:47:01,-0.58
R01820,392,JPY,100,Иен,57.0982,56.9783,2025-04-21 21:47:01,0.21
