index,ID,NumCode,CharCode,Nominal,Name,Value,Previous,timestamp
AUD,R01010,036,AUD,1,Австралийский доллар,52.1681,52.0573,2025-04-14 21:32:13
AZN,R01020A,944,AZN,1,Азербайджанский манат,48.6865,49.4141,2025-04-14 21:32:13
GBP,R01035,826,GBP,1,Фунт стерлингов,108.0856,108.8692,2025-04-14 21:32:13
AMD,R01060,051,AMD,100,Армянских драмов,21.1724,21.4806,2025-04-14 21:32:13
BYN,R01090B,933,BYN,1,Белорусский рубль,26.8245,27.0231,2025-04-14 21:32:13
BGN,R01100,975,BGN,1,Болгарский лев,48.0141,47.5978,2025-04-14 21:32:13
BRL,R01115,986,BRL,1,Бразильский реал,14.0919,14.211,2025-04-14 21:32:13
HUF,R01135,348,HUF,100,Форинтов,22.9806,23.4471,2025-04-14 21:32:13
VND,R01150,704,VND,10000,Донгов,33.2585,33.7054,2025-04-14 21:32:13
HKD,R01200,344,HKD,1,Гонконгский доллар,10.6934,10.8504,2025-04-14 21:32:13
GEL,R01210,981,GEL,1,Лари,30.0338,30.466,2025-04-14 21:32:13
DKK,R01215,208,DKK,1,Датская крона,12.5755,12.4702,2025-04-14 21:32:13
AED,R01230,784,AED,1,Дирхам ОАЭ,22.537,22.8738,2025-04-14 21:32:13
USD,R01235,840,USD,1,Доллар США,82.7671,84.004,2025-04-14 21:32:13
EUR,R01239,978,EUR,1,Евро,94.1635,96.2163,2025-04-14 21:32:13
EGP,R01240,818,EGP,10,Египетских фунтов,16.2291,16.3615,2025-04-14 21:32:13
INR,R01270,356,INR,100,Индийских рупий,96.0798,97.5157,2025-04-14 21:32:13
IDR,R01280,360,IDR,10000,Рупий,49.2515,50.065,2025-04-14 21:32:13
KZT,R01335,398,KZT,100,Тенге,16.0732,16.3058,2025-04-14 21:32:13
CAD,R01350,124,CAD,1,Канадский доллар,59.5875,59.9386,2025-04-14 21:32:13
QAR,R01355,634,QAR,1,Катарский риал,22.7382,23.078,2025-04-14 21:32:13
KGS,R01370,417,KGS,100,Сомов,94.6451,96.0595,2025-04-14 21:32:13
CNY,R01375,156,CNY,1,Юань,11.2274,11.4471,2025-04-14 21:32:13
MDL,R01500,498,MDL,10,Молдавских леев,47.9926,47.6586,2025-04-14 21:32:13
NZD,R01530,554,NZD,1,Новозеландский доллар,48.3318,48.5459,2025-04-14 21:32:13
NOK,R01535,578,NOK,10,Норвежских крон,77.6063,77.6973,2025-04-14 21:32:13
PLN,R01565,985,PLN,1,Злотый,22.0336,22.3379,2025-04-14 21:32:13
RON,R01585F,946,RON,1,Румынский лей,18.9472,19.2595,2025-04-14 21:32:13
XDR,R01589,960,XDR,1,СДР (специальные права заимствования),111.9168,112.5015,2025-04-14 21:32:13
SGD,R01625,702,SGD,1,Сингапурский доллар,62.8738,63.3371,2025-04-14 21:32:13
TJS,R01670,972,TJS,10,Сомони,76.0105,77.0827,2025-04-14 21:32:13
THB,R01675,764,THB,10,Батов,24.5607,24.9277,2025-04-14 21:32:13
TRY,R01700J,949,TRY,10,Турецких лир,21.8144,22.1654,2025-04-14 21:32:13
TMT,R01710A,934,TMT,1,Новый туркменский манат,23.6477,24.0011,2025-04-14 21:32:13
UZS,R01717,860,UZS,10000,Узбекских сумов,63.7635,64.776,2025-04-14 21:32:13
UAH,R01720,980,UAH,10,Гривен,20.033,20.2968,2025-04-14 21:32:13
CZK,R01760,203,CZK,10,Чешских крон,37.4987,37.9045,2025-04-14 21:32:13
SEK,R01770,752,SEK,10,Шведских крон,84.4508,84.4843,2025-04-14 21:32:13
CHF,R01775,756,CHF,1,Швейцарский франк,101.3433,103.4023,2025-04-14 21:32:13
RSD,R01805F,941,RSD,100,Сербских динаров,80.2741,81.1929,2025-04-14 21:32:13
ZAR,R01810,710,ZAR,10,Рэндов,43.838,43.3983,2025-04-14 21:32:13
KRW,R01815,410,KRW,1000,Вон,57.0493,57.5962,2025-04-14 21:32:13
JPY,R01820,392,JPY,100,Иен,57.7983,58.5802,2025-04-14 21:32:13
